,year,month,date,region,admin2_name,precipitation,season
151,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Turkana,23.08293775473031,Long Rains
152,2001,3,2001-03-01T00:00:00,Western and Rift Valley,Uasin Gishu,109.58730320617738,Long Rains
153,2001,4,2001-04-01T00:00:00,Western and Rift Valley,Uasin Gishu,161.31738804129586,Long Rains
154,2001,5,2001-05-01T00:00:00,Western and Rift Valley,Uasin Gishu,132.35267813170367,Long Rains
155,2001,6,2001-06-01T00:00:00,Western and Rift Valley,Uasin Gishu,162.03907253609373,Long Rains
156,2001,3,2001-03-01T00:00:00,Western and Rift Valley,West Pokot,115.44683121494533,Long Rains
157,2001,4,2001-04-01T00:00:00,Western and Rift Valley,West Pokot,115.21724982909548,Long Rains
158,2001,5,2001-05-01T00:00:00,Western and Rift Valley,West Pokot,88.71694908039377,Long Rains
159,2001,6,2001-06-01T00:00:00,Western and Rift Valley,West Pokot,128.3359783536619,Long Rains
160,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Vihiga,249.09902700203855,Long Rains
161,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Vihiga,325.09674136043327,Long Rains
162,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Vihiga,292.8467637447764,Long Rains
163,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Vihiga,105.12239935564698,Long Rains
164,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Narok,115.00425394977223,Long Rains
165,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Narok,156.66416424756136,Long Rains
166,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Narok,157.62704288564262,Long Rains
167,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Narok,29.803287857393535,Long Rains
168,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Trans Mara,187.61506465050246,Long Rains
169,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Trans Mara,190.04779294227654,Long Rains
170,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Trans Mara,184.98819337119355,Long Rains
171,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Trans Mara,47.945709687733306,Long Rains
172,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Bomet,153.40260036408725,Long Rains
173,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Bomet,181.13402377426908,Long Rains
174,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Bomet,218.21343195949783,Long Rains
175,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Bomet,59.474428764943376,Long Rains
176,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Buret,161.58649737510038,Long Rains
177,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Buret,201.25658986146922,Long Rains
178,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Buret,265.4874052954087,Long Rains
179,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Buret,103.05002803712519,Long Rains
180,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Nandi North,153.8356850129361,Long Rains
181,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Nandi North,191.9594139670562,Long Rains
182,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Nandi North,256.7434118377232,Long Rains
183,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Nandi North,119.54537697485301,Long Rains
184,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Nandi South,181.4555287268088,Long Rains
185,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Nandi South,196.99931551186515,Long Rains
186,2002,5,2002-05-01T00:00:00,Western and Rift Valley,Nandi South,243.69573915260193,Long Rains
187,2002,6,2002-06-01T00:00:00,Western and Rift Valley,Nandi South,106.56438402143174,Long Rains
188,2002,3,2002-03-01T00:00:00,Western and Rift Valley,Baringo,94.83501346532695,Long Rains
189,2002,4,2002-04-01T00:00:00,Western and Rift Valley,Baringo,89.78337472121085,Long Rains
