,year,month,date,region,admin2_name,precipitation
648,2006,1,2006-01-01T00:00:00,Zambia,Kapiri-Mposhi,233.51404120660536
649,2006,2,2006-02-01T00:00:00,Zambia,Kapiri-Mposhi,227.71200736367686
650,2006,3,2006-03-01T00:00:00,Zambia,Kapiri-Mposhi,150.61636830239448
658,2006,11,2006-11-01T00:00:00,Zambia,Kapiri-Mposhi,115.64303997762958
659,2006,12,2006-12-01T00:00:00,Zambia,Kapiri-Mposhi,186.77137793107022
660,2007,1,2007-01-01T00:00:00,Zambia,Kapiri-Mposhi,298.22810513640496
661,2007,2,2007-02-01T00:00:00,Zambia,Kapiri-Mposhi,250.61378185293307
662,2007,3,2007-03-01T00:00:00,Zambia,Kapiri-Mposhi,81.96755007888846
670,2007,11,2007-11-01T00:00:00,Zambia,Kapiri-Mposhi,144.09225176163477
671,2007,12,2007-12-01T00:00:00,Zambia,Kapiri-Mposhi,334.15872734898375
672,2008,1,2008-01-01T00:00:00,Zambia,Kapiri-Mposhi,330.35546065856363
673,2008,2,2008-02-01T00:00:00,Zambia,Kapiri-Mposhi,159.63289712656928
674,2008,3,2008-03-01T00:00:00,Zambia,Kapiri-Mposhi,126.27190617620718
682,2008,11,2008-11-01T00:00:00,Zambia,Kapiri-Mposhi,181.98543769646105
683,2008,12,2008-12-01T00:00:00,Zambia,Kapiri-Mposhi,250.7174124514262
684,2009,1,2009-01-01T00:00:00,Zambia,Kapiri-Mposhi,286.5732796391653
685,2009,2,2009-02-01T00:00:00,Zambia,Kapiri-Mposhi,127.16409042018898
686,2009,3,2009-03-01T00:00:00,Zambia,Kapiri-Mposhi,203.40322143737905
694,2009,11,2009-11-01T00:00:00,Zambia,Kapiri-Mposhi,181.0646724228633
695,2009,12,2009-12-01T00:00:00,Zambia,Kapiri-Mposhi,193.0630292329684
696,2010,1,2010-01-01T00:00:00,Zambia,Kapiri-Mposhi,155.61482194952302
697,2010,2,2010-02-01T00:00:00,Zambia,Kapiri-Mposhi,362.5486980699514
698,2010,3,2010-03-01T00:00:00,Zambia,Kapiri-Mposhi,181.16649584269788
706,2010,11,2010-11-01T00:00:00,Zambia,Kapiri-Mposhi,143.28046240514888
707,2010,12,2010-12-01T00:00:00,Zambia,Kapiri-Mposhi,275.3195203176026
708,2011,1,2011-01-01T00:00:00,Zambia,Kapiri-Mposhi,257.2776922986414
709,2011,2,2011-02-01T00:00:00,Zambia,Kapiri-Mposhi,106.77424150648741
710,2011,3,2011-03-01T00:00:00,Zambia,Kapiri-Mposhi,148.7223773234413
718,2011,11,2011-11-01T00:00:00,Zambia,Kapiri-Mposhi,143.24608589842305
719,2011,12,2011-12-01T00:00:00,Zambia,Kapiri-Mposhi,176.79062153880125
720,2012,1,2012-01-01T00:00:00,Zambia,Kapiri-Mposhi,253.75369869682203
721,2012,2,2012-02-01T00:00:00,Zambia,Kapiri-Mposhi,217.43665808595367
722,2012,3,2012-03-01T00:00:00,Zambia,Kapiri-Mposhi,143.02714457225022
730,2012,11,2012-11-01T00:00:00,Zambia,Kapiri-Mposhi,103.19778619751445
731,2012,12,2012-12-01T00:00:00,Zambia,Kapiri-Mposhi,264.73757177144074
732,2013,1,2013-01-01T00:00:00,Zambia,Kapiri-Mposhi,290.9641553761573
733,2013,2,2013-02-01T00:00:00,Zambia,Kapiri-Mposhi,211.66701863894085
734,2013,3,2013-03-01T00:00:00,Zambia,Kapiri-Mposhi,66.65486938282261
742,2013,11,2013-11-01T00:00:00,Zambia,Kapiri-Mposhi,93.69549310523658
743,2013,12,2013-12-01T00:00:00,Zambia,Kapiri-Mposhi,223.24422004002022
744,2014,1,2014-01-01T00:00:00,Zambia,Kapiri-Mposhi,214.22401519639817
745,2014,2,2014-02-01T00:00:00,Zambia,Kapiri-Mposhi,200.5746750265078
746,2014,3,2014-03-01T00:00:00,Zambia,Kapiri-Mposhi,105.20995004895772
754,2014,11,2014-11-01T00:00:00,Zambia,Kapiri-Mposhi,63.71414211071952
755,2014,12,2014-12-01T00:00:00,Zambia,Kapiri-Mposhi,236.38437047925916
756,2015,1,2015-01-01T00:00:00,Zambia,Kapiri-Mposhi,262.11150823194737
757,2015,2,2015-02-01T00:00:00,Zambia,Kapiri-Mposhi,197.12772191085767
758,2015,3,2015-03-01T00:00:00,Zambia,Kapiri-Mposhi,79.76826231351367
766,2015,11,2015-11-01T00:00:00,Zambia,Kapiri-Mposhi,78.70373430013846
767,2015,12,2015-12-01T00:00:00,Zambia,Kapiri-Mposhi,158.27640603502928
768,2016,1,2016-01-01T00:00:00,Zambia,Kapiri-Mposhi,266.77244020455026
769,2016,2,2016-02-01T00:00:00,Zambia,Kapiri-Mposhi,152.36771947772672
770,2016,3,2016-03-01T00:00:00,Zambia,Kapiri-Mposhi,246.61325838095107
778,2016,11,2016-11-01T00:00:00,Zambia,Kapiri-Mposhi,170.31196512769412
779,2016,12,2016-12-01T00:00:00,Zambia,Kapiri-Mposhi,210.65849472165755
780,2017,1,2017-01-01T00:00:00,Zambia,Kapiri-Mposhi,330.93521383280154
781,2017,2,2017-02-01T00:00:00,Zambia,Kapiri-Mposhi,365.793840300408
782,2017,3,2017-03-01T00:00:00,Zambia,Kapiri-Mposhi,136.617028954572
790,2017,11,2017-11-01T00:00:00,Zambia,Kapiri-Mposhi,173.09289724974607
